dob_yy,dob_mm,apgar5,births
1985,1,2,273
1985,1,3,340
1985,1,4,446
1985,1,5,850
1985,1,6,1775
1985,1,7,4531
1985,1,8,20013
1985,1,9,152885
1985,1,99,72529
1985,10,0,166
1985,10,1,599
1985,10,10,49576
1985,10,2,328
1985,10,3,331
1985,10,4,457
1985,10,5,866
1985,10,6,1826
1985,10,7,4700
1985,10,8,21120
1985,10,9,165117
1985,10,99,78291
1985,11,0,161
1985,11,1,563
1985,11,10,45772
1985,11,2,282
1985,11,3,288
1985,11,4,425
1985,11,5,793
1985,11,6,1712
1985,11,7,4401
1985,11,8,19671
1985,11,9,155015
1985,11,99,72845
1985,12,0,215
1985,12,1,555
1985,12,10,46959
1985,12,2,267
1985,12,3,303
1985,12,4,474
1985,12,5,831
1985,12,6,1741
1985,12,7,4448
1985,12,8,20221
1985,12,9,160476
1985,12,99,74642
1985,2,0,169
1985,2,1,457
1985,2,10,46458
1985,2,2,271
1985,2,3,297
1985,2,4,433
1985,2,5,793
1985,2,6,1573
1985,2,7,4263
1985,2,8,18921
1985,2,9,142927
1985,2,99,65019
1985,3,0,212
1985,3,1,523
1985,3,10,50808
1985,3,2,318
1985,3,3,309
1985,3,4,452
1985,3,5,853
1985,3,6,1816
1985,3,7,4570
1985,3,8,20740
1985,3,9,158415
1985,3,99,72007
1985,4,0,189
1985,4,1,569
1985,4,10,48691
1985,4,2,298
1985,4,3,313
1985,4,4,468
1985,4,5,858
1985,4,6,1742
1985,4,7,4547
1985,4,8,20265
1985,4,9,154849
1985,4,99,69338
1985,5,0,218
1985,5,1,610
1985,5,10,51326
1985,5,2,342
1985,5,3,339
1985,5,4,487
1985,5,5,871
1985,5,6,1876
1985,5,7,4631
1985,5,8,20980
1985,5,9,162713
1985,5,99,73617
1985,6,0,218
1985,6,1,576
1985,6,10,50039
1985,6,2,313
1985,6,3,341
1985,6,4,451
1985,6,5,782
1985,6,6,1733
1985,6,7,4540
1985,6,8,20546
1985,6,9,158516
1985,6,99,70807
1985,7,0,200
1985,7,1,577
1985,7,10,53192
1985,7,2,301
1985,7,3,393
1985,7,4,547
1985,7,5,875
1985,7,6,1959
1985,7,7,4749
1985,7,8,21917
1985,7,9,170742
1985,7,99,78459
1985,8,0,186
1985,8,1,558
1985,8,10,52797
1985,8,2,313
1985,8,3,369
1985,8,4,496
1985,8,5,901
1985,8,6,1880
1985,8,7,4878
1985,8,8,22083
1985,8,9,171061
1985,8,99,81497
1985,9,0,204
1985,9,1,561
1985,9,10,52000
1985,9,2,330
1985,9,3,336
1985,9,4,473
1985,9,5,883
1985,9,6,1841
1985,9,7,4618
1985,9,8,21467
1985,9,9,169469
1985,9,99,79493
2008,1,0,193
2008,1,1,767
2008,1,10,14130
2008,1,2,467
2008,1,3,547
2008,1,4,686
2008,1,5,1195
2008,1,6,2344
2008,1,7,6243
2008,1,8,35236
2008,1,9,292675
2008,1,99,2561
2008,10,0,174
2008,10,1,760
2008,10,10,13677
2008,10,2,512
2008,10,3,550
2008,10,4,755
2008,10,5,1490
2008,10,6,2299
2008,10,7,6268
2008,10,8,34736
2008,10,9,295000
2008,10,99,2312
2008,11,0,164
2008,11,1,718
2008,11,10,12253
2008,11,2,468
2008,11,3,507
2008,11,4,654
2008,11,5,1285
2008,11,6,2042
2008,11,7,5731
2008,11,8,31522
2008,11,9,266859
2008,11,99,2204
2008,12,0,177
2008,12,1,693
2008,12,10,13008
2008,12,2,461
2008,12,3,517
2008,12,4,679
2008,12,5,1423
2008,12,6,2298
2008,12,7,6200
2008,12,8,34343
2008,12,9,292210
2008,12,99,2441
2008,2,0,200
2008,2,1,738
2008,2,10,13384
2008,2,2,498
2008,2,3,485
2008,2,4,692
2008,2,5,1138
2008,2,6,2096
2008,2,7,6029
2008,2,8,34041
2008,2,9,277456
2008,2,99,2346
2008,3,0,167
2008,3,1,809
2008,3,10,13584
2008,3,2,521
2008,3,3,500
2008,3,4,728
2008,3,5,1155
2008,3,6,2287
2008,3,7,6241
2008,3,8,35402
2008,3,9,287357
2008,3,99,2431
2008,4,0,170
2008,4,1,744
2008,4,10,13621
2008,4,2,487
2008,4,3,504
2008,4,4,696
2008,4,5,1148
2008,4,6,2286
2008,4,7,6250
2008,4,8,35090
2008,4,9,283656
2008,4,99,2332
2008,5,0,182
2008,5,1,792
2008,5,10,13684
2008,5,2,512
2008,5,3,511
2008,5,4,733
2008,5,5,1227
2008,5,6,2293
2008,5,7,6396
2008,5,8,35738
2008,5,9,291059
2008,5,99,2308
2008,6,0,163
2008,6,1,772
2008,6,10,13752
2008,6,2,450
2008,6,3,509
2008,6,4,646
2008,6,5,1183
2008,6,6,2141
2008,6,7,6237
2008,6,8,33992
2008,6,9,287022
2008,6,99,2358
2008,7,0,186
2008,7,1,778
2008,7,10,14741
2008,7,2,511
2008,7,3,552
2008,7,4,751
2008,7,5,1190
2008,7,6,2460
2008,7,7,6463
2008,7,8,36710
2008,7,9,309186
2008,7,99,2577
2008,8,0,151
2008,8,1,811
2008,8,10,14301
2008,8,2,509
2008,8,3,584
2008,8,4,728
2008,8,5,1245
2008,8,6,2451
2008,8,7,6635
2008,8,8,36811
2008,8,9,307369
2008,8,99,2433
2008,9,0,156
2008,9,1,761
2008,9,10,14322
2008,9,2,508
2008,9,3,509
2008,9,4,737
2008,9,5,1308
2008,9,6,2294
2008,9,7,6175
2008,9,8,35792
2008,9,9,303629
2008,9,99,2469
2018,1,0,196
2018,1,1,669
2018,1,10,6960
2018,1,2,506
2018,1,3,569
2018,1,4,724
2018,1,5,1346
2018,1,6,2544
2018,1,7,5909
2018,1,8,31282
2018,1,9,263600
2018,1,99,1288
2018,10,0,128
2018,10,1,649
2018,10,10,7069
2018,10,2,493
2018,10,3,509
2018,10,4,768
2018,10,5,1312
2018,10,6,2515
2018,10,7,6309
2018,10,8,33321
2018,10,9,273347
2018,10,99,1320
2018,11,0,152
2018,11,1,612
2018,11,10,6645
2018,11,2,478
2018,11,3,510
2018,11,4,712
2018,11,5,1244
2018,11,6,2385
2018,11,7,5969
2018,11,8,31381
2018,11,9,258094
2018,11,99,1293
2018,12,0,107
2018,12,1,586
2018,12,10,6691
2018,12,2,467
2018,12,3,548
2018,12,4,702
2018,12,5,1235
2018,12,6,2437
2018,12,7,6098
2018,12,8,32156
2018,12,9,259339
2018,12,99,1215
2018,2,0,128
2018,2,1,633
2018,2,10,6401
2018,2,2,414
2018,2,3,473
2018,2,4,582
2018,2,5,1142
2018,2,6,2184
2018,2,7,5510
2018,2,8,28219
2018,2,9,238157
2018,2,99,1097
2018,3,0,132
2018,3,1,674
2018,3,10,7019
2018,3,2,530
2018,3,3,487
2018,3,4,779
2018,3,5,1314
2018,3,6,2477
2018,3,7,6091
2018,3,8,31829
2018,3,9,264305
2018,3,99,1187
2018,4,0,122
2018,4,1,629
2018,4,10,6599
2018,4,2,464
2018,4,3,506
2018,4,4,691
2018,4,5,1232
2018,4,6,2403
2018,4,7,5774
2018,4,8,30047
2018,4,9,249465
2018,4,99,1193
2018,5,0,132
2018,5,1,633
2018,5,10,7135
2018,5,2,508
2018,5,3,532
2018,5,4,755
2018,5,5,1261
2018,5,6,2538
2018,5,7,6144
2018,5,8,32350
2018,5,9,268247
2018,5,99,1213
2018,6,0,139
2018,6,1,641
2018,6,10,6857
2018,6,2,466
2018,6,3,558
2018,6,4,737
2018,6,5,1208
2018,6,6,2530
2018,6,7,6263
2018,6,8,32081
2018,6,9,262957
2018,6,99,1148
2018,7,0,138
2018,7,1,655
2018,7,10,7333
2018,7,2,533
2018,7,3,540
2018,7,4,786
2018,7,5,1336
2018,7,6,2586
2018,7,7,6407
2018,7,8,33446
2018,7,9,274782
2018,7,99,1309
2018,8,0,140
2018,8,1,685
2018,8,10,7527
2018,8,2,553
2018,8,3,554
2018,8,4,789
2018,8,5,1428
2018,8,6,2698
2018,8,7,6673
2018,8,8,35129
2018,8,9,288114
2018,8,99,1397
2018,9,0,133
2018,9,1,676
2018,9,10,6758
2018,9,2,462
2018,9,3,522
2018,9,4,752
2018,9,5,1322
2018,9,6,2565
2018,9,7,6274
2018,9,8,32403
2018,9,9,270459
2018,9,99,1359
1983,1,0,141
1983,1,1,484
1983,1,10,57731
1983,1,2,353
1983,1,3,360
1983,1,4,495
1983,1,5,896
1983,1,6,1886
1983,1,7,4498
1983,1,8,19049
1983,1,9,135056
1983,1,99,52131
1983,10,0,158
1983,10,1,579
