dob_yy,dob_mm,births
1993,1,323420
1993,10,333313
1993,11,316751
1993,12,331477
1993,2,304947
1993,3,342518
1993,4,327372
1993,5,336368
1993,6,335703
1993,7,352949
1993,8,351306
1993,9,348399
2020,1,305536
2020,2,283385
2020,3,302331
2020,4,290940
2020,5,301902
2020,6,302574
2020,7,322096
2020,8,320072
2020,9,312152
2020,10,305548
2020,11,283010
2020,12,290280
1987,1,305334
1987,10,326734
1987,11,306657
1987,12,320572
1987,2,283763
1987,3,317781
1987,4,308066
1987,5,320111
1987,6,321357
1987,7,336718
1987,8,331688
1987,9,334435
2000,1,330513
2000,10,344389
2000,11,334292
2000,12,337193
2000,2,317691
2000,3,340932
2000,4,317533
2000,5,341604
2000,6,341605
2000,7,349429
2000,8,360538
2000,9,348104
1984,1,267731
1984,10,294330
1984,11,271411
1984,12,275920
1984,2,258443
1984,3,278550
1984,4,261745
1984,5,274174
1984,6,274125
1984,7,298589
1984,8,307215
1984,9,298638
2012,1,316959
2012,10,346251
2012,11,325810
2012,12,324960
2012,2,305060
2012,3,324944
2012,4,307262
2012,5,330779
2012,6,327811
2012,7,348157
2012,8,361902
2012,9,340901
2016,1,317445
2016,10,331939
2016,11,320258
2016,12,325562
2016,2,306750
2016,3,329341
2016,4,314312
2016,5,328434
2016,6,333166
2016,7,343643
2016,8,358737
2016,9,346525
2017,1,314597
2017,10,330762
2017,11,317280
2017,12,316738
2017,2,289694
2017,3,320327
2017,4,300801
2017,5,323169
2017,6,324633
2017,7,335708
2017,8,353033
2017,9,338012
1981,1,270033
1981,10,282584
1981,11,265642
1981,12,277553
1981,2,250001
1981,3,275622
1981,4,260838
1981,5,270831
1981,6,272197
1981,7,298952
1981,8,301985
1981,9,292816
2013,1,324314
2013,10,341353
2013,11,319233
2013,12,336320
2013,2,292360
2013,3,321166
2013,4,312274
2013,5,330193
2013,6,320475
2013,7,349920
2013,8,354293
2013,9,338863
1979,1,259422
1979,10,277327
1979,11,262156
1979,12,265130
1979,2,238106
1979,3,262998
1979,4,246933
1979,5,261383
1979,6,257253
1979,7,284123
1979,8,289911
1979,9,279679
1978,1,232656
1978,10,248654
1978,11,236101
1978,12,245085
1978,2,214738
1978,3,237742
1978,4,218574
1978,5,232742
1978,6,232699
1978,7,253646
1978,8,260446
1978,9,252603
1982,1,273549
1982,10,288071
1982,11,271200
1982,12,274939
1982,2,254267
1982,3,280754
1982,4,267419
1982,5,281121
1982,6,282441
1982,7,301554
1982,8,301996
1982,9,299502
2009,1,338571
2009,10,348218
2009,11,320781
2009,12,341617
2009,2,317169
2009,3,348349
2009,4,337815
2009,5,345821
2009,6,347537
2009,7,369117
2009,8,360226
2009,9,362615
2004,1,333408
2004,10,349110
2004,11,336309
2004,12,346664
2004,2,316310
2004,3,346854
2004,4,333858
2004,5,338168
2004,6,345398
2004,7,360050
2004,8,356075
2004,9,356703
1976,1,200057
1976,10,217097
1976,11,205298
1976,12,213614
1976,2,188729
1976,3,200482
1976,4,188845
1976,5,195067
1976,6,198952
1976,7,216003
1976,8,219557
1976,9,220151
2003,1,330304
2003,10,354583
2003,11,320617
2003,12,344069
2003,2,307662
2003,3,337418
2003,4,330589
2003,5,347225
2003,6,337944
2003,7,364800
2003,8,360683
2003,9,360198
1975,1,184306
1975,10,189974
1975,11,176937
1975,12,188397
1975,2,169640
1975,3,185824
1975,4,178318
1975,5,185804
1975,6,181537
1975,7,198739
1975,8,198862
1975,9,194068
1999,1,319494
1999,10,333351
1999,11,315667
1999,12,333620
1999,2,297832
1999,3,333222
1999,4,317157
1999,5,328806
1999,6,332516
1999,7,350226
1999,8,351751
1999,9,349823
1974,1,165015
1974,10,180160
1974,11,165665
1974,12,170477
1974,2,151811
1974,3,165938
1974,4,158426
1974,5,165072
1974,6,160968
1974,7,179683
1974,8,183869
1974,9,182066
1992,1,334376
1992,10,343983
1992,11,322291
1992,12,338096
1992,2,315743
1992,3,339857
1992,4,333671
1992,5,344525
1992,6,340068
1992,7,359497
1992,8,349366
1992,9,347955
2007,1,355560
2007,10,370069
2007,11,354327
2007,12,355213
2007,2,327394
2007,3,361410
2007,4,338795
2007,5,362918
2007,6,359225
2007,7,380356
2007,8,391117
2007,9,367624
2002,1,331089
2002,10,346324
2002,11,319049
2002,12,334730
2002,2,304372
2002,3,331894
2002,4,324849
2002,5,339455
2002,6,328053
2002,7,358220
2002,8,359945
2002,9,349396
1995,1,316287
1995,10,330311
1995,11,311130
1995,12,315256
1995,2,295364
1995,3,328774
1995,4,309361
1995,5,334836
1995,6,330084
1995,7,341180
1995,8,351022
1995,9,339407
